0:00.003,0:01.810,0:00.056
0:00.019,0:03.686,0:00.050
0:00.023,0:05.509,0:00.294
0:00.018,0:07.295,0:00.073
0:00.025,0:09.099,0:00.116
0:00.026,0:11.015,0:00.112
0:00.032,0:12.703,0:00.122
0:00.032,0:14.659,0:00.338
